ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item description,Item category,Price,Sale price,Contextual keywords,Item address,Tracking template,Custom parameter,Final mobile URL
65ACC6,,Brinco Scarlet,http://www.ddivas.com.br/pd-65acc6-brinco-scarlet.html,http://s3.amazonaws.com/img.iluria.com/product/65ACC6/FA7215/450xN.jpg,,Brinco Scarlet,Brinco,25.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65acc6-brinco-scarlet.html
65ACCF,,Brinco Chiara,http://www.ddivas.com.br/pd-65accf-brinco-chiara.html,http://s3.amazonaws.com/img.iluria.com/product/65ACCF/FA722C/450xN.jpg,,Brinco Chiara,Brinco,25.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65accf-brinco-chiara.html
65ACE1,,Brinco Yumi,http://www.ddivas.com.br/pd-65ace1-brinco-yumi.html,http://s3.amazonaws.com/img.iluria.com/product/65ACE1/FA724F/450xN.jpg,,Brinco Yumi,Brinco,25.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65ace1-brinco-yumi.html
65ACE1,,Brinco Yumi,http://www.ddivas.com.br/pd-65ace1-brinco-yumi.html,http://s3.amazonaws.com/img.iluria.com/product/65ACE1/FA724F/450xN.jpg,,Brinco Yumi,Brinco,25.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65ace1-brinco-yumi.html
65ACEB,,Brinco Laluna Búzio,http://www.ddivas.com.br/pd-65aceb-brinco-laluna-buzio.html,http://s3.amazonaws.com/img.iluria.com/product/65ACEB/FA7265/450xN.jpg,,Brinco Laluna Búzio,Brinco,18.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65aceb-brinco-laluna-buzio.html
65ACF4,,Brinco Suri,http://www.ddivas.com.br/pd-65acf4-brinco-suri.html,http://s3.amazonaws.com/img.iluria.com/product/65ACF4/FA727E/450xN.jpg,,Brinco Suri,Brinco,20.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65acf4-brinco-suri.html
65ACFF,,Brinco Egípcia,http://www.ddivas.com.br/pd-65acff-brinco-egipcia.html,http://s3.amazonaws.com/img.iluria.com/product/65ACFF/FA72B0/450xN.jpg,,Brinco Egípcia,Brinco,25.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65acff-brinco-egipcia.html
65AD0F,,Brinco Vibrante,http://www.ddivas.com.br/pd-65ad0f-brinco-vibrante.html,http://s3.amazonaws.com/img.iluria.com/product/65AD0F/FA72E3/450xN.jpg,,Brinco Vibrante,Brinco,26.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65ad0f-brinco-vibrante.html
65AD1D,,Brinco Círculo,http://www.ddivas.com.br/pd-65ad1d-brinco-circulo.html,http://s3.amazonaws.com/img.iluria.com/product/65AD1D/FA730E/450xN.jpg,,Brinco Círculo,Brinco,20.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65ad1d-brinco-circulo.html
65D141,,Brinco Jasmim,http://www.ddivas.com.br/pd-65d141-brinco-jasmim.html,http://s3.amazonaws.com/img.iluria.com/product/65D141/FACF18/450xN.jpg,,Brinco Jasmim,Brinco,29.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65d141-brinco-jasmim.html
