"# Required | Enter a unique ID for the item, such as a SKU. If there are multiple instances of the same ID, these will be ignored. | Max characters: 100",# Required | The title of the item. | Max character limit: 100,# Required | A short description describing the item. | Max character limit: 5000,"# Required | The current availability of the item in your store. | Supported values: in stock, available for order, preorder, out of stock, discontinued","# Required | The current condition of the item in your store. | Supported values: new, refurbished, used",# Required | The cost and currency of the item. The price is a number followed by the currency code (ISO 4217 standards).,# Required | The URL of the website where you can buy the item. ,"# Required | The URL for the image used in your ad. For square (1:1) aspect ratios in the carousel ad format, your image should be 600x600. For single image ads, your image should be at least 1200x630 ","# Required | You can use unique manufacturer part number (MPN), Global Trade Item Number (GTIN), or brand name for your product. You only need to use one of these values for this column (not all of them). | Supported values for GTIN: UPC, EAN, JAN and ISBN | Max character limit: 70","# Optional | Additional image URLs for the item. You can include up to 10 image URLs. Use "","" to separate each URL. | Max character limit: 2000","# Optional | The age group for your item. | Supported values: newborn, infant, toddler, kids, adult",# Optional | The item color. | Max character limit: 100,"# Optional | The item's gender. | Supported values: male, female, unisex","# Optional | Items that are varients of a specific product. Provide the same item_group_id for all items that are varients. For example, a red Polo Shirt is a variant of Polo Shirt. Facebook maps this to the retailer_product_group_id once we get your feed. For dynamic ads, Facebook picks only one item out of the group based on the signal we receive from the pixel or app event.",# Optional | A preset value from Google's product taxonomy. For example: Apparel & Accessories > Clothing > Dresses | Max character limit: 250,"# Optional | The material the product is made from, such as cotton, denim or leather. | Max character limit: 200",# Optional | Pattern or graphic print on a product. | Max character limit: 100,# Optional | The category the product belongs in. For example: Home & Garden > Kitchen & Dining > Appliances > Refrigerators | Max character limit: 750,"# Optional | The discounted cose and currency code for the product if it's on sale. The sale price is a number followed by the currency code (ISO 4217 standards). Use ""."" as the decimal for the sale price. The sale price is required if you plan on using an overlay for discounted prices.","# Optional | The start and end date and time for your sale, written as: YYYY-MM-DDT0:00-23:59/YYYY-MM-DDT0:00-23:59.","# Optional | The type of shipping for the item, written as: COUNTRY:STATE:SHIPPING_TYPE:PRICE. Use "";"" to separate different regions. For example: US:CA:Ground:9.99 USD,US:NY:Air:15.99 USD","# Optional | The shipping weight of the item. | Supported values: lb, oz, g, kg",# Optional | The size of the item. For example: small or XL.,# Optional | Additional information about the product you want to include. | Max character limit: 100,# Optional | Additional information about the product you want to include. | Max character limit: 100,# Optional | Additional information about the product you want to include. | Max character limit: 100,# Optional | Additional information about the product you want to include. | Max character limit: 100,# Optional | Additional information about the product you want to include. | Max character limit: 100
id,title,description,availability,condition,price,link,image_link,brand,additional_image_link,age_group,color,gender,item_group_id,google_product_category,material,pattern,product_type,sale_price,sale_price_effective_date,shipping,shipping_weight,size,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
56007A,2 Alças,Bolsa de couro,available for order,new,179.00 BRL,https://www.mhacessorio.com.br/pd-56007a-2-alcas-g-caramelo.html,https://s3.amazonaws.com/img.iluria.com/product/56007A/D16CE9/850xN.jpg,MH,,adult,Caramelo,female,2 Alças,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,G,100% couro legítimo.,Não possui forro,,,
5615F0,2 Alças,Bolsa de couro,available for order,new,179.00 BRL,https://www.mhacessorio.com.br/pd-5615f0-2-alcas-g-cafe.html,https://s3.amazonaws.com/img.iluria.com/product/5615F0/D1A307/850xN.jpg,MH,,adult,Café,female,2 Alças,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,G,100% couro legítimo.,Não possui forro,,,
560076,2 Alças,Bolsa de couro,available for order,new,179.00 BRL,https://www.mhacessorio.com.br/pd-560076-2-alcas-g-preta.html,https://s3.amazonaws.com/img.iluria.com/product/560076/D16CE0/850xN.jpg,MH,,adult,Preta,female,2 Alças,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,G,100% couro legítimo.,Não possui forro,,,
56163E,The Franja,Bolsa de couro,available for order,new,229.00 BRL,https://www.mhacessorio.com.br/pd-56163e-the-franja-caramelo.html,https://s3.amazonaws.com/img.iluria.com/product/56163E/D1A3EF/850xN.jpg,MH,https://s3.amazonaws.com/img.iluria.com/product/56163E/D1A3F3/850xN.jpg,adult,Caramelo,female,The,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,,100% couro legítimo.,Não possui forro,,,
561651,The Franja,Bolsa de couro,available for order,new,229.00 BRL,https://www.mhacessorio.com.br/pd-561651-the-franja-preta.html,https://s3.amazonaws.com/img.iluria.com/product/561651/D1A418/850xN.jpg,MH,,adult,Preta,female,The,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,,100% couro legítimo.,Não possui forro,,,
560037,The,Bolsa de couro,available for order,new,199.00 BRL,https://www.mhacessorio.com.br/pd-560037-the-vermelho-melancia.html,https://s3.amazonaws.com/img.iluria.com/product/560037/D16C3F/850xN.jpg,MH,https://s3.amazonaws.com/img.iluria.com/product/560037/D16C3E/850xN.jpg,adult,Vermelha,female,The,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,,100% couro legítimo.,Não possui forro,,,
560031,The,Bolsa de couro,available for order,new,199.00 BRL,https://www.mhacessorio.com.br/pd-560031-the-cafe.html,https://s3.amazonaws.com/img.iluria.com/product/560031/D16C25/850xN.jpg,MH,,adult,Café,female,The,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,,100% couro legítimo.,Não possui forro,,,
56002A,Rústica Franja,Bolsa de couro,available for order,new,129.00 BRL,https://www.mhacessorio.com.br/pd-56002a-rustica-franja-caramelo.html,https://s3.amazonaws.com/img.iluria.com/product/56002A/D16C01/850xN.jpg,MH,https://s3.amazonaws.com/img.iluria.com/product/56002A/D16C02/850xN.jpg,adult,Caramelo,female,Rústica,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,,100% couro legítimo.,Não possui forro,,,
56006A,Rústica Tachinhas,Bolsa de couro,available for order,new,139.00 BRL,https://www.mhacessorio.com.br/pd-56006a-rustica-tachinhas-caramelo.html,https://s3.amazonaws.com/img.iluria.com/product/56006A/D16CCC/850xN.jpg,MH,https://s3.amazonaws.com/img.iluria.com/product/56002A/D16C03/850xN.jpg,adult,Caramelo,female,Rústica,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,,100% couro legítimo.,Não possui forro,,,
55FFFC,Executiva,Bolsa de couro,available for order,new,189.00 BRL,https://www.mhacessorio.com.br/pd-55fffc-executiva-verde-limao.html,https://s3.amazonaws.com/img.iluria.com/product/55FFFC/D16B52/850xN.jpg,MH,https://s3.amazonaws.com/img.iluria.com/product/55FFFC/D16B56/850xN.jpg,adult,Verde Limão,female,Executiva,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,,100% couro legítimo.,Não possui forro,,,
55FE72,Executiva,Bolsa de couro,available for order,new,189.00 BRL,https://www.mhacessorio.com.br/pd-55fe72-excutiva-marrom.html,https://s3.amazonaws.com/img.iluria.com/product/55FE72/D16841/850xN.jpg,MH,https://s3.amazonaws.com/img.iluria.com/product/55FE72/D16B34/850xN.jpg,adult,Marrom,female,Executiva,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,,100% couro legítimo.,Não possui forro,,,
561600,Executiva,Bolsa de couro,available for order,new,189.00 BRL,https://www.mhacessorio.com.br/pd-561600-executiva-cafe.html,https://s3.amazonaws.com/img.iluria.com/product/561600/D1A335/850xN.jpg,MH,,adult,Café,female,Executiva,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,,100% couro legítimo.,Não possui forro,,,
561684,Pasta Carteiro,Bolsa de couro,available for order,new,320.00 BRL,https://www.mhacessorio.com.br/pd-561684-pasta-carteiro-masculina-cafe.html,https://s3.amazonaws.com/img.iluria.com/product/561684/D1A494/850xN.jpg,MH,"https://s3.amazonaws.com/img.iluria.com/product/561684/D1A49A/850xN.jpg,https://s3.amazonaws.com/img.iluria.com/product/561684/D1A49E/850xN.jpg",adult,Café,male,Pasta Carteiro,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",leather,,Apparel & Accessories > Clothing > Shirts,,,,,,100% couro legítimo.,Não possui forro,,,
