Day	Ad Name	Delivery Status	Delivery Level	Campaign Name	Ad Set Name	Reach	Impressions	Clicks (All)	Unique Link Clicks	Amount Spent (BRL)	CPC (All)	Reporting Starts	Reporting Ends
6/3/2019	[remo] Top Fashion (no products) | 10% Primeira Compra	not_delivering	ad	[remo] Lead generation	[remo] Lead generation | Top Fashion (no products)	223	230	20	7	2.02	0.101	6/3/2019	6/3/2019
5/30/2019	[remo] Top Fashion (no products) | 10% Primeira Compra	not_delivering	ad	[remo] Lead generation	[remo] Lead generation | Top Fashion (no products)	141	142	7	3	1.44	0.20571429	5/30/2019	5/30/2019
5/24/2019	[remo] Top Fashion (no products) | 10% Primeira Compra	not_delivering	ad	[remo] Lead generation	[remo] Lead generation | Top Fashion (no products)	296	297	12	3	3.61	0.30083333	5/24/2019	5/24/2019
6/5/2019	[remo] Top Fashion (no products) | 10% Primeira Compra	not_delivering	ad	[remo] Lead generation	[remo] Lead generation | Top Fashion (no products)	148	148	6	1	1.89	0.315	6/5/2019	6/5/2019
6/2/2019	[remo] Top Fashion (no products) | 10% Primeira Compra	not_delivering	ad	[remo] Lead generation	[remo] Lead generation | Top Fashion (no products)	197	201	14	4	1.89	0.135	6/2/2019	6/2/2019
5/23/2019	[remo] Top Fashion (no products) | 10% Primeira Compra	not_delivering	ad	[remo] Lead generation	[remo] Lead generation | Top Fashion (no products)	121	121	4	1	1.58	0.395	5/23/2019	5/23/2019
6/4/2019	[remo] Top Fashion (no products) | 10% Primeira Compra	not_delivering	ad	[remo] Lead generation	[remo] Lead generation | Top Fashion (no products)	187	189	5	2	1.77	0.354	6/4/2019	6/4/2019
8/22/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 3 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	77	77	1	1	0.14	0.14	8/22/2019	8/22/2019
2/21/2019	"Publicação do Instagram: Prática, fácil de..."	not_delivering	ad	"[remo] Publicação do Instagram: Prática, fácil de..."	"Publicação do Instagram: Prática, fácil de..."	25	25	0		0.25		2/21/2019	2/21/2019
7/11/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	92	97	1	1	0.18	0.18	7/11/2019	7/11/2019
8/10/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	18	18	0		0.11		8/10/2019	8/10/2019
8/5/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	20	23	0		0.08		8/5/2019	8/5/2019
7/27/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	8	8	0		0.02		7/27/2019	7/27/2019
8/8/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	6	6	0		0.02		8/8/2019	8/8/2019
7/28/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	12	22	0		0.02		7/28/2019	7/28/2019
