Day	Ad Name	Delivery Status	Delivery Level	Campaign Name	Ad Set Name	Reach	Impressions	Clicks (All)	Unique Link Clicks	Amount Spent (BRL)	CPC (All)	Reporting Starts	Reporting Ends
3/25/2019	Publicação do Instagram: ?? FOTO OFICIAL ??...	archived	ad	Publicação do Instagram: ?? FOTO OFICIAL ??...	Publicação do Instagram: ?? FOTO OFICIAL ??...	12	12	0		0.38		3/25/2019	3/25/2019
6/5/2019	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	archived	ad	[remo] Publicação do Instagram: CHRISTIAN LOUBOUTIN...	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	300	300	2	1	1.91	0.955	6/5/2019	6/5/2019
8/22/2019	Publicação do Instagram: Já imaginou vc fazendo a...	archived	ad	[remo] Publicação do Instagram: Já imaginou vc fazendo a...	Publicação do Instagram: Já imaginou vc fazendo a...	82	82	1	1	1.09	1.09	8/22/2019	8/22/2019
8/23/2019	Publicação do Instagram: Já imaginou vc fazendo a...	archived	ad	[remo] Publicação do Instagram: Já imaginou vc fazendo a...	Publicação do Instagram: Já imaginou vc fazendo a...	38	38	0		0.39		8/23/2019	8/23/2019
8/21/2019	Publicação do Instagram: Já imaginou vc fazendo a...	archived	ad	[remo] Publicação do Instagram: Já imaginou vc fazendo a...	Publicação do Instagram: Já imaginou vc fazendo a...	27	27	1	1	0.52	0.52	8/21/2019	8/21/2019
6/7/2019	Publicação do Instagram: BOLSA LOUIS VUITTON...	archived	ad	[remo] Publicação do Instagram: BOLSA LOUIS VUITTON...	Publicação do Instagram: BOLSA LOUIS VUITTON...	421	422	2	2	2.27	1.135	6/7/2019	6/7/2019
6/6/2019	Publicação do Instagram: BOLSA LOUIS VUITTON...	archived	ad	[remo] Publicação do Instagram: BOLSA LOUIS VUITTON...	Publicação do Instagram: BOLSA LOUIS VUITTON...	463	464	3	3	2.13	0.71	6/6/2019	6/6/2019
8/23/2019	Publicação do Instagram: Já imaginou vc fazendo a...	archived	ad	Publicação do Instagram: Já imaginou vc fazendo a...	Publicação do Instagram: Já imaginou vc fazendo a...	38	38	3	3	0.26	0.08666667	8/23/2019	8/23/2019
4/16/2019	"Publicação do Instagram: SORTEIO ??
??FOTO..."	archived	ad	"Publicação do Instagram: SORTEIO ??
??FOTO..."	"Publicação do Instagram: SORTEIO ??
??FOTO..."	139	139	6	5	1.7	0.28333333	4/16/2019	4/16/2019
4/17/2019	"Publicação do Instagram: SORTEIO ??
??FOTO..."	archived	ad	"Publicação do Instagram: SORTEIO ??
??FOTO..."	"Publicação do Instagram: SORTEIO ??
??FOTO..."	150	150	9	8	1.3	0.14444444	4/17/2019	4/17/2019
6/7/2019	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	archived	ad	[remo] Publicação do Instagram: CHRISTIAN LOUBOUTIN...	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	309	309	2	2	2.26	1.13	6/7/2019	6/7/2019
6/4/2019	Publicação do Instagram: BOLSA LOUIS VUITTON...	archived	ad	[remo] Publicação do Instagram: BOLSA LOUIS VUITTON...	Publicação do Instagram: BOLSA LOUIS VUITTON...	50	50	1	1	1.01	1.01	6/4/2019	6/4/2019
6/4/2019	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	archived	ad	[remo] Publicação do Instagram: CHRISTIAN LOUBOUTIN...	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	89	89	0		1.38		6/4/2019	6/4/2019
6/8/2019	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	archived	ad	[remo] Publicação do Instagram: CHRISTIAN LOUBOUTIN...	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	61	61	0		0.49		6/8/2019	6/8/2019
8/23/2019	Publicação do Instagram: Já imaginou vc fazendo a...	archived	ad	Publicação do Instagram: Já imaginou vc fazendo a...	Publicação do Instagram: Já imaginou vc fazendo a...	2	2	0		0.06		8/23/2019	8/23/2019
6/19/2019	"Publicação do Instagram: ?????????????? (???????? ??????????????)
A..."	archived	ad	"Publicação do Instagram: ?????????????? (???????? ??????????????)
A..."	"Publicação do Instagram: ?????????????? (???????? ??????????????)
A..."	182	182	2	2	0.89	0.445	6/19/2019	6/19/2019
6/18/2019	"Publicação do Instagram: ?????????????? (???????? ??????????????)
A..."	archived	ad	"Publicação do Instagram: ?????????????? (???????? ??????????????)
A..."	"Publicação do Instagram: ?????????????? (???????? ??????????????)
A..."	250	250	7	5	1.72	0.24571429	6/18/2019	6/18/2019
8/23/2019	Publicação do Instagram: Já imaginou vc fazendo a...	archived	ad	[remo] Publicação do Instagram: Já imaginou vc fazendo a...	Publicação do Instagram: Já imaginou vc fazendo a...	94	94	2	2	0.45	0.225	8/23/2019	8/23/2019
8/22/2019	Publicação do Instagram: Já imaginou vc fazendo a...	archived	ad	[remo] Publicação do Instagram: Já imaginou vc fazendo a...	Publicação do Instagram: Já imaginou vc fazendo a...	237	238	17	17	1.06	0.06235294	8/22/2019	8/22/2019
8/21/2019	Publicação do Instagram: Já imaginou vc fazendo a...	archived	ad	[remo] Publicação do Instagram: Já imaginou vc fazendo a...	Publicação do Instagram: Já imaginou vc fazendo a...	103	103	13	12	0.49	0.03769231	8/21/2019	8/21/2019
6/5/2019	Publicação do Instagram: BOLSA LOUIS VUITTON...	archived	ad	[remo] Publicação do Instagram: BOLSA LOUIS VUITTON...	Publicação do Instagram: BOLSA LOUIS VUITTON...	327	327	1	1	2.03	2.03	6/5/2019	6/5/2019
6/8/2019	Publicação do Instagram: BOLSA LOUIS VUITTON...	archived	ad	[remo] Publicação do Instagram: BOLSA LOUIS VUITTON...	Publicação do Instagram: BOLSA LOUIS VUITTON...	82	82	0		0.56		6/8/2019	6/8/2019
6/6/2019	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	archived	ad	[remo] Publicação do Instagram: CHRISTIAN LOUBOUTIN...	Publicação do Instagram: CHRISTIAN LOUBOUTIN...	439	439	2	2	1.96	0.98	6/6/2019	6/6/2019
4/16/2019	"Publicação do Instagram: SORTEIO ??
??FOTO..."	archived	ad	"Publicação do Instagram: SORTEIO ??
??FOTO..."	"Publicação do Instagram: SORTEIO ??
??FOTO..."	17	17	0		0.61		4/16/2019	4/16/2019
4/17/2019	"Publicação do Instagram: SORTEIO ??
??FOTO..."	archived	ad	"Publicação do Instagram: SORTEIO ??
??FOTO..."	"Publicação do Instagram: SORTEIO ??
??FOTO..."	18	18	0		0.39		4/17/2019	4/17/2019
3/26/2019	Publicação do Instagram: ?? FOTO OFICIAL ??...	archived	ad	Publicação do Instagram: ?? FOTO OFICIAL ??...	Publicação do Instagram: ?? FOTO OFICIAL ??...	12	12	0		0.57		3/26/2019	3/26/2019
6/8/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	19	19	0		0.07		6/8/2019	6/8/2019
6/14/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 3	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	174	175	4		1.14	0.285	6/14/2019	6/14/2019
5/22/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	40	40	0		0.28		5/22/2019	5/22/2019
5/29/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	24	24	1		0.18	0.18	5/29/2019	5/29/2019
6/9/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	9	9	0		0.05		6/9/2019	6/9/2019
6/16/2019	[remo] Lookalike Instagram | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	1339	1386	110	70	5.63	0.05118182	6/16/2019	6/16/2019
6/8/2019	[remo] Lookalike Instagram | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	268	270	20	8	0.94	0.047	6/8/2019	6/8/2019
6/12/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	48	48	0		0.24		6/12/2019	6/12/2019
6/2/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	26	26	1	1	0.13	0.13	6/2/2019	6/2/2019
5/28/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	6	6	0		0.06		5/28/2019	5/28/2019
6/6/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	38	38	4	1	0.2	0.05	6/6/2019	6/6/2019
6/15/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	18	18	0		0.16		6/15/2019	6/15/2019
3/11/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	608	649	1		3.75	3.75	3/11/2019	3/11/2019
3/10/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	599	629	2	1	3.66	1.83	3/10/2019	3/10/2019
3/9/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	537	566	6	3	3.69	0.615	3/9/2019	3/9/2019
5/31/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	15	15	1	1	0.12	0.12	5/31/2019	5/31/2019
5/27/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	10	10	0		0.04		5/27/2019	5/27/2019
6/4/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	9	9	0		0.02		6/4/2019	6/4/2019
6/13/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	14	14	1	1	0.15	0.15	6/13/2019	6/13/2019
5/25/2019	[remo] Lookalike Instagram | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	164	165	17	11	0.78	0.04588235	5/25/2019	5/25/2019
6/6/2019	[remo] Lookalike Instagram | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	236	239	19	14	0.99	0.05210526	6/6/2019	6/6/2019
6/12/2019	[remo] Lookalike Instagram | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	2230	2349	137	78	8.98	0.06554745	6/12/2019	6/12/2019
6/14/2019	[remo] Lookalike Instagram | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	1668	1728	104	59	7.15	0.06875	6/14/2019	6/14/2019
5/30/2019	[remo] Lookalike Instagram | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	176	180	9	6	0.97	0.10777778	5/30/2019	5/30/2019
6/17/2019	[remo] Lookalike Instagram | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	472	484	26	16	1.99	0.07653846	6/17/2019	6/17/2019
5/13/2019	[remo] Lookalike Instagram | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	147	154	18	10	0.97	0.05388889	5/13/2019	5/13/2019
5/30/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	6	6	0		0.07		5/30/2019	5/30/2019
3/7/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	492	517	0		3.54		3/7/2019	3/7/2019
5/25/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	9	9	1	1	0.11	0.11	5/25/2019	5/25/2019
5/23/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	14	15	0		0.11		5/23/2019	5/23/2019
6/5/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	28	28	3	2	0.15	0.05	6/5/2019	6/5/2019
5/24/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	20	20	0		0.26		5/24/2019	5/24/2019
6/1/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	27	27	1	1	0.15	0.15	6/1/2019	6/1/2019
5/26/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	48	48	0		0.31		5/26/2019	5/26/2019
5/21/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	35	35	0		0.34		5/21/2019	5/21/2019
3/12/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	489	522	6	3	3.9	0.65	3/12/2019	3/12/2019
3/5/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	658	712	1		3.54	3.54	3/5/2019	3/5/2019
2/28/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	460	475	2	1	3.5	1.75	2/28/2019	2/28/2019
2/23/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	517	536	8	4	3.42	0.4275	2/23/2019	2/23/2019
3/3/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	581	617	2	1	3.43	1.715	3/3/2019	3/3/2019
2/27/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	482	498	3	1	3.53	1.17666667	2/27/2019	2/27/2019
2/20/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	446	465	2		3.34	1.67	2/20/2019	2/20/2019
2/17/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	729	823	10	5	3.43	0.343	2/17/2019	2/17/2019
2/21/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	454	469	4	1	3.41	0.8525	2/21/2019	2/21/2019
2/16/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	309	310	5	3	1.34	0.268	2/16/2019	2/16/2019
6/4/2019	[remo] Lookalike Instagram | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	275	279	21	9	0.97	0.04619048	6/4/2019	6/4/2019
3/1/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	569	606	1	1	3.67	3.67	3/1/2019	3/1/2019
6/16/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	28	28	0		0.15		6/16/2019	6/16/2019
6/14/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	9	9	0		0.1		6/14/2019	6/14/2019
6/17/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	8	9	0		0.04		6/17/2019	6/17/2019
6/11/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	28	28	1	1	0.12	0.12	6/11/2019	6/11/2019
6/10/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	7	7	1	1	0.06	0.06	6/10/2019	6/10/2019
6/3/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	9	9	1		0.04	0.04	6/3/2019	6/3/2019
2/24/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	576	610	4	2	3.41	0.8525	2/24/2019	2/24/2019
2/19/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	510	533	5	2	3.37	0.674	2/19/2019	2/19/2019
2/25/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	528	550	4	2	3.48	0.87	2/25/2019	2/25/2019
6/7/2019	[remo] Top Fashion Brands | Conheça o site 201905-1	inactive	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	16	16	0		0.16		6/7/2019	6/7/2019
6/16/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 3	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	31	31	0		0.14		6/16/2019	6/16/2019
3/6/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	661	725	3		3.65	1.21666667	3/6/2019	3/6/2019
3/4/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	662	718	1	1	3.39	3.39	3/4/2019	3/4/2019
3/13/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	372	381	3	1	3.07	1.02333333	3/13/2019	3/13/2019
2/22/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	465	483	5	2	3.46	0.692	2/22/2019	2/22/2019
3/2/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	535	576	2	2	3.45	1.725	3/2/2019	3/2/2019
6/11/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 3	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	97	97	0		0.64		6/11/2019	6/11/2019
6/13/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 3	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	248	254	3	2	2.51	0.83666667	6/13/2019	6/13/2019
6/15/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 3	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	82	82	0		0.45		6/15/2019	6/15/2019
2/18/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	609	651	4	2	3.36	0.84	2/18/2019	2/18/2019
6/10/2019	[remo] Lookalike Instagram | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	245	250	20	13	0.95	0.0475	6/10/2019	6/10/2019
6/17/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 3	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	6	6	0		0.02		6/17/2019	6/17/2019
6/12/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 3	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	33	33	0		0.16		6/12/2019	6/12/2019
6/10/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 3	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	48	48	1		0.22	0.22	6/10/2019	6/10/2019
6/13/2019	[remo] Lookalike Instagram | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	2382	2479	165	85	10.13	0.06139394	6/13/2019	6/13/2019
3/8/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	536	572	2	2	3.63	1.815	3/8/2019	3/8/2019
2/26/2019	[remo] Seguidores (Instagram) | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Seguidores (Instagram)	490	511	9	2	3.48	0.38666667	2/26/2019	2/26/2019
6/11/2019	[remo] Lookalike Instagram | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	1287	1309	70	40	5.72	0.08171429	6/11/2019	6/11/2019
6/2/2019	[remo] Lookalike Instagram | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	261	270	17	9	0.98	0.05764706	6/2/2019	6/2/2019
5/31/2019	[remo] Lookalike Instagram | Conheça o site	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	184	187	26	15	1.03	0.03961538	5/31/2019	5/31/2019
6/16/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 2 - Copy	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	35	50	1	1	0.13	0.13	6/16/2019	6/16/2019
5/8/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	92	93	8	3	0.81	0.10125	5/8/2019	5/8/2019
5/12/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	110	111	4	1	0.64	0.16	5/12/2019	5/12/2019
6/14/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 2 - Copy	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	12	19	0		0.03		6/14/2019	6/14/2019
6/12/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 2 - Copy	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	143	158	4	2	0.29	0.0725	6/12/2019	6/12/2019
6/15/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 2 - Copy	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	29	31	1	2	0.19	0.19	6/15/2019	6/15/2019
6/11/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 2 - Copy	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	130	134	8	3	0.32	0.04	6/11/2019	6/11/2019
6/17/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 2 - Copy	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	20	21	2		0.12	0.06	6/17/2019	6/17/2019
5/10/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	115	116	7	2	0.92	0.13142857	5/10/2019	5/10/2019
6/13/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 2 - Copy	inactive	ad	[remo] Traffic	[remo] Traffic | Lookalike Instagram	11	12	0		0.01		6/13/2019	6/13/2019
5/30/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	69	70	4	2	0.5	0.125	5/30/2019	5/30/2019
5/31/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	60	60	6	3	0.56	0.09333333	5/31/2019	5/31/2019
6/1/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	130	135	4	1	0.7	0.175	6/1/2019	6/1/2019
6/2/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	122	124	5	3	0.78	0.156	6/2/2019	6/2/2019
6/3/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	140	140	4	2	0.78	0.195	6/3/2019	6/3/2019
6/4/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	145	147	2	1	0.68	0.34	6/4/2019	6/4/2019
5/7/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	2	2	0		0.06		5/7/2019	5/7/2019
5/11/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	88	89	2	1	0.86	0.43	5/11/2019	5/11/2019
6/6/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	133	133	9	5	0.63	0.07	6/6/2019	6/6/2019
5/21/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	227	229	6	4	0.72	0.12	5/21/2019	5/21/2019
5/27/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	51	51	1		0.44	0.44	5/27/2019	5/27/2019
5/26/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	66	68	1		0.63	0.63	5/26/2019	5/26/2019
5/25/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	57	57	2	2	0.49	0.245	5/25/2019	5/25/2019
5/24/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	76	77	0		0.56		5/24/2019	5/24/2019
5/23/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	103	104	1	1	0.7	0.7	5/23/2019	5/23/2019
5/22/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	148	148	4	4	0.69	0.1725	5/22/2019	5/22/2019
5/20/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	184	185	8	2	0.75	0.09375	5/20/2019	5/20/2019
5/9/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	132	132	4	3	0.87	0.2175	5/9/2019	5/9/2019
5/19/2019	[remo] Melissa (brechó | BR | 25<>34) | Flox High	inactive	ad	[remo] Conversions	[remo] Conversions | Melissa (brechó | BR | 25<>34)	174	175	1		0.72	0.72	5/19/2019	5/19/2019
