ID,Tipo,REF,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status da taxa","Classe de taxa","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vender individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de download","Dias para expirar o download","Produto ascendente","Produtos agrupados","Aumenta vendas","Venda cruzada","URL externa","Texto do botão",Posição,Marca,"Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1","Nome do atributo 2","Valores do atributo 2","Visibilidade do atributo 2","Atributo global 2","Nome do atributo 3","Valores do atributo 3","Visibilidade do atributo 3","Atributo global 3","Metadado: _wpas_done_all","Metadado: fb_product_description","Metadado: _wc_facebook_sync_enabled","Metadado: fb_visibility","Metadado: _oembed_9eb98e5b1ee208b130c2019d30084b4e","Metadado: _wc_facebook_product_image_source","Metadado: berocket_post_order","Metadado: _oembed_589fb70f15eebb40caab3983d10f96b9","Metadado: fb_product_group_id","Metadado: fb_product_item_id","Metadado: _g_feedback_shortcode_744d3f88180f886d16a5b215c86f0de012b91fff","Metadado: _wp_old_date","Metadado: fb_image","Metadado: woo_ua_product_condition","Metadado: woo_ua_opening_price","Metadado: woo_ua_lowest_price","Metadado: woo_ua_bid_increment","Metadado: woo_ua_auction_end_date","Metadado: woo_ua_auction_start_date","Metadado: woo_ua_auction_type","Metadado: woo_ua_auction_has_started","Metadado: woo_ua_auction_last_activity","Metadado: woo_ua_auction_current_bid","Metadado: woo_ua_auction_current_bider","Metadado: woo_ua_auction_bid_count","Metadado: woo_ua_auction_closed","Metadado: woo_ua_winner_mail_sent"
485,simple,64732,"Óculos de Sol | Tommy Hilfiger",1,1,visible,"Óculos Tommy Hilfiger marrom animal",,,,taxable,,0,0,,0,1,0.300,16,11,10,1,,,"250,00","Acessórios, Acessórios > Óculos","Tommy Hilfiger",,"http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-64732-1-scaled.jpg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-64732-2-scaled.jpg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/Tommy-marrom-animal-1.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/Tommy-marrom-animal-2.jpeg",,,,,,,,,0,"Tommy Hilfiger",Tamanho,Único,1,1,Material,'--,1,1,Cores,marrom,1,1,1,,,,
486,simple,62832,"Óculos de sol | Prada",1,0,visible,"Óculos Prada Onça, modelo SPR11Q",,,,taxable,,0,0,,0,1,0.300,16,11,10,1,,315,350,"Acessórios, Acessórios > Óculos","black-friday, brechó, brechó de luxo, moda feminina, outlet, Prada, second hand","Embalagem Normal","http://brechofashioncarioca.com.br/wp-content/uploads/2020/04/62832.jpg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/prada-onça-SPR11Q-2.jpeg",,,,,,,,,0,Prada,Tamanho,Único,1,1,Material,'--,1,1,Cores,estampado,1,1,1,,,,
491,simple,60468,"Relógio | Michael Kors . MK5448",1,1,visible,"Relógio Michael Kors modelo MK5448, estampa de onça com dourado.",,,,taxable,,1,1,,0,1,0.300,16,11,10,1,,"399,9","499,99","Acessórios, OUTLET, Acessórios > Relógios","black-friday, Michael Kors, outlet","Embalagem Normal","http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-60468-1.jpg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-60468-2.jpg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/MK5448-1.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/MK5448-2.jpeg",,,,,,,,,0,"Michael Kors",Tamanho,'--,1,1,Material,'--,1,1,Cores,"dourado, estampado",1,1,1,,,1,
498,simple,58256,"Relógio | Michael Kors . MK5593",1,1,visible,"Relógio Michael Kors, modelo MK5593, na cor dourado com estampa de onça.",,,,taxable,,0,0,,0,1,0.300,16,11,10,1,,,"599,90","Acessórios, Acessórios > Relógios","Michael Kors",,"http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-58256-1.jpg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-58256-2.jpg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/MK5593-1.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/MK5593-2.jpeg",,,,,,,,,0,"Michael Kors",Tamanho,'--,1,1,Material,'--,1,1,Cores,"dourado, estampado",1,1,1,,,,
499,simple,65373,"Relógio | Michael Kors . MK5305",1,0,visible,"Relógio Michael Kors, modelo MK5305, na cor dourada.",,,,taxable,,0,0,,0,1,0.300,16,11,10,1,,405,450,"Acessórios, OUTLET, Acessórios > Relógios","black-friday, Michael Kors",,"http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/MK5305-1.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/MK5305-2.jpeg",,,,,,,,,0,"Michael Kors",Tamanho,'--,1,1,Material,'--,1,1,Cores,dourado,1,1,1,,,,
514,simple,64738,"Bolsa | Prada Galleria",1,1,visible,"Bolsa <strong><a href=""https://www.prada.com"">Prada</a> Galleria</strong> tamanho grande em couro Saffiano Lux na cor cinza <em>argilla</em>.\n\nAcompanha cartão certificado de origem e propriedade.","A icônica bolsa <strong>Prada Galleria</strong> em couro Saffiano é uma combinação de elegância e charme atemporal. A bolsa com ferragem de metal brilhante tem dois bolsos externos com zíper e um espaçoso compartimento revestido de tecido com bolsos.",,,taxable,,0,0,,0,1,0.500,30,20,10,1,,"5999,90","6990,90",Bolsas,Prada,,"http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-64738-1.jpg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-64738-2.jpg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-64738-4.jpg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-64738-3.jpg",,,,,,,,,0,,Tamanho,G,1,1,Material,'--,1,1,Cores,cinza,1,1,1,,,,
521,simple,60895,"Blusa verde riscada | Mary Zaide",1,0,visible,"Blusa verde riscada com barra em tule da marca <strong>Mary Zaide.</strong>",,,,taxable,,0,0,,0,1,0.200,16,11,2,1,,,"24,90","Roupas > Blusas / Camisas","Mary Zaide","Embalagem Normal","http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-60895f.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-60895c.jpeg",,,,,,,,,0,,Tamanho,P,1,1,Material,'--,1,1,Cores,verde,1,1,1,,,,
523,simple,61485,"Sapatilha | Carolina Herrera",1,0,visible,"Sapatilha <a href=""https://www.carolinaherrera.com/""><strong>Carolina Herrera</strong></a> básica",,,,taxable,,0,0,,0,1,0.500,30,20,10,1,,"200,00","299,90",Calçados,"Carolina Herrera",,"http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-61485-2.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-61485-1.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-61485-3.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-61485-4.jpeg",,,,,,,,,0,,Tamanho,35,1,1,Material,'--,1,1,Cores,marrom,1,1,1,,,,
526,simple,62248,"Blusa azul manga longa | A. Brand",1,0,visible,"Blusa de manga longa com boca de sino na cor azul escura e ombro vazado da marca <strong>A.Brand.</strong>",,,,taxable,,0,0,,0,1,0.200,16,11,2,1,,"62,91","69,9","Roupas > Blusas / Camisas, OUTLET","A, black-friday, Brand","Embalagem Normal","http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-62248f.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-62248c.jpeg",,,,,,,,,0,A.Brand,Tamanho,38,1,1,Material,'--,1,1,Cores,azul,1,1,1,,,,
532,simple,66313,"Sandália | Luiza Barcelos",1,0,visible,"Sandália plataforma <strong><a href=""https://www.luizabarcelos.com.br/"">Luiza Barcelos</a></strong> na cor nude com acabamento verniz.",,,,taxable,,0,0,,0,1,0.500,30,20,10,1,,,"99,90",Calçados,"Luiza Barcelos",,"http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66313-1.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66313-2.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66313-3.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66313-4.jpeg",,,,,,,,,0,,Tamanho,39,1,1,Material,'--,1,1,Cores,nude,1,1,1,,,,
